Protein A,Protein B,Method,Publication,Taxid A,Taxid B,Interaction type,Source DB,Interaction identifier,Confidence,Protein A DB,Protein B DB,Taxname A,Taxname B
O95429,P0DTD1-PRO_0000449622,"psi-mi:""MI:0397""(two hybrid array)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26952889|imex:IM-28880-231,intact-miscore:0.56,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q86Y26,P0DTD1-PRO_0000449626,"psi-mi:""MI:0397""(two hybrid array)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26953120|imex:IM-28880-835,intact-miscore:0.56,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9NYU1,P0DTC6,"psi-mi:""MI:0397""(two hybrid array)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26953650|imex:IM-28880-237,intact-miscore:0.56,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
O75360,P0DTC6,"psi-mi:""MI:0397""(two hybrid array)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26953606|imex:IM-28880-75,intact-miscore:0.56,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
A8MTQ0,P0DTD1-PRO_0000449627,"psi-mi:""MI:0397""(two hybrid array)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26953293|imex:IM-28880-697,intact-miscore:0.56,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
P51116,P0DTD1-PRO_0000449627,"psi-mi:""MI:0397""(two hybrid array)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26953282|imex:IM-28880-1139,intact-miscore:0.56,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
P51114,P0DTD1-PRO_0000449627,"psi-mi:""MI:0397""(two hybrid array)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26953271|imex:IM-28880-1137,intact-miscore:0.56,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
P15884,P0DTD1-PRO_0000449627,"psi-mi:""MI:0397""(two hybrid array)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26953326|imex:IM-28880-837,intact-miscore:0.56,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
P52954,P0DTF1,"psi-mi:""MI:0397""(two hybrid array)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26953475|imex:IM-28880-233,intact-miscore:0.56,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9GZY8,P0DTF1,"psi-mi:""MI:0397""(two hybrid array)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26953486|imex:IM-28880-235,intact-miscore:0.56,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q15041,P0DTC6,"psi-mi:""MI:0397""(two hybrid array)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26953595|imex:IM-28880-73,intact-miscore:0.56,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q04864,P0DTD1-PRO_0000449627,"psi-mi:""MI:0397""(two hybrid array)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26953304|imex:IM-28880-395,intact-miscore:0.56,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q96HR9,P0DTC6,"psi-mi:""MI:0397""(two hybrid array)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26953617|imex:IM-28880-77,intact-miscore:0.56,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9UMX0,P0DTC6,"psi-mi:""MI:0397""(two hybrid array)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26953628|imex:IM-28880-397,intact-miscore:0.56,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9UHD9,P0DTC6,"psi-mi:""MI:0397""(two hybrid array)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26953639|imex:IM-28880-79,intact-miscore:0.60,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
P23497,P0DTD1-PRO_0000449627,"psi-mi:""MI:0397""(two hybrid array)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26953315|imex:IM-28880-699,intact-miscore:0.56,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
O43765,P0DTD8,"psi-mi:""MI:0397""(two hybrid array)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26953826|imex:IM-28880-239,intact-miscore:0.56,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
O43765,P0DTD3,"psi-mi:""MI:0397""(two hybrid array)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26954190|imex:IM-28880-517,intact-miscore:0.56,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9UHD9,P0DTD3,"psi-mi:""MI:0397""(two hybrid array)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26954212|imex:IM-28880-839,intact-miscore:0.60,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9UMX0,P0DTD3,"psi-mi:""MI:0397""(two hybrid array)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26954201|imex:IM-28880-519,intact-miscore:0.56,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q96BA8,P0DTC4,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26948500|imex:IM-28880-441,intact-miscore:0.49,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
P61165,P0DTC4,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26948507|imex:IM-28880-621,intact-miscore:0.56,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
O95429,P0DTC4,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26948514|imex:IM-28880-623,intact-miscore:0.56,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
O75360,P0DTC4,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26948521|imex:IM-28880-301,intact-miscore:0.56,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
O75569,P0DTC9,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949313|imex:IM-28880-305,intact-miscore:0.60,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
O15226,P0DTC9,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949306|imex:IM-28880-167,intact-miscore:0.56,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q15014,P0DTC9,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949299|imex:IM-28880-303,intact-miscore:0.70,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9UBU8,P0DTC9,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949292|imex:IM-28880-925,intact-miscore:0.60,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9NX58,P0DTC9,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949285|imex:IM-28880-447,intact-miscore:0.77,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9NSK0,P0DTC9,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949278|imex:IM-28880-1065,intact-miscore:0.56,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9H0B6,P0DTC9,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949271|imex:IM-28880-923,intact-miscore:0.60,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q07866,P0DTC9,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949264|imex:IM-28880-763,intact-miscore:0.60,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9UN86,P0DTC9,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949257|imex:IM-28880-1063,intact-miscore:0.97,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q13283,P0DTC9,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949250|imex:IM-28880-629,intact-miscore:0.98,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q14241,P0DTC9,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949243|imex:IM-28880-445,intact-miscore:0.56,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
P19525,P0DTC9,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949236|imex:IM-28880-627,intact-miscore:0.82,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q08426,P0DTC9,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949229|imex:IM-28880-165,intact-miscore:0.60,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q16543,P0DTC9,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949222|imex:IM-28880-1221,intact-miscore:0.60,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q13895,P0DTC9,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949215|imex:IM-28880-921,intact-miscore:0.60,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
O15145,P0DTC9,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949208|imex:IM-28880-1061,intact-miscore:0.60,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
P78563,P0DTC9,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949201|imex:IM-28880-443,intact-miscore:0.60,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
P54727,P0DTC9,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949320|imex:IM-28880-1223,intact-miscore:0.60,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q15633,P0DTC9,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949327|imex:IM-28880-1091,intact-miscore:0.70,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9NXS3,P0DTD1-PRO_0000449619,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949388|imex:IM-28880-1185,intact-miscore:0.49,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q93008,P0DTC9,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949341|imex:IM-28880-765,intact-miscore:0.56,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
O60763,P0DTC9,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949334|imex:IM-28880-1093,intact-miscore:0.60,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q96HA8,P0DTC9,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949348|imex:IM-28880-1007,intact-miscore:0.56,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
P56192,P0DTD1-PRO_0000449619,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949395|imex:IM-28880-105,intact-miscore:0.49,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
A8MW99,P0DTD1-PRO_0000449628,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949455|imex:IM-28880-409,intact-miscore:0.49,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9NTJ5,P0DTD1-PRO_0000449629,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949845|imex:IM-28880-109,intact-miscore:0.49,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9BRQ0,P0DTD1-PRO_0000449629,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949838|imex:IM-28880-573,intact-miscore:0.49,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9NP87,P0DTD1-PRO_0000449629,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949831|imex:IM-28880-1191,intact-miscore:0.49,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q96AQ6,P0DTD1-PRO_0000449629,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949824|imex:IM-28880-571,intact-miscore:0.49,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
P23759,P0DTD1-PRO_0000449629,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949817|imex:IM-28880-1021,intact-miscore:0.49,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
A8MRT5,P0DTD1-PRO_0000449629,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949803|imex:IM-28880-725,intact-miscore:0.49,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9NR56,P0DTD1-PRO_0000449629,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949796|imex:IM-28880-1189,intact-miscore:0.49,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q8TE12,P0DTD1-PRO_0000449629,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949789|imex:IM-28880-107,intact-miscore:0.49,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9BQ66,P0DTD1-PRO_0000449629,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949782|imex:IM-28880-869,intact-miscore:0.49,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q96D03,P0DTD1-PRO_0000449629,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949775|imex:IM-28880-569,intact-miscore:0.49,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q8N684,P0DTD1-PRO_0000449629,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949768|imex:IM-28880-265,intact-miscore:0.49,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q96NS8,P0DTD1-PRO_0000449629,"psi-mi:""MI:1356""(validated two hybrid)",pmc:PPR297270|pubmed:unassigned2933|imex:IM-28880|doi:10.1101/2021.03.15.433877,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26949761|imex:IM-28880-411,intact-miscore:0.49,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
