yourlist:M202205025BF3C56A578D7D6DFD1FC81EE5DA77304BFA55N	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
A0A0B4J289	A0A0B4J289	A0A0B4J289_HUMAN	unreviewed	NADPH oxidase 5	NOX5	Homo sapiens (Human)	294
P11047	P11047	LAMC1_HUMAN	reviewed	Laminin subunit gamma-1 (Laminin B2 chain) (Laminin-1 subunit gamma) (Laminin-10 subunit gamma) (Laminin-11 subunit gamma) (Laminin-2 subunit gamma) (Laminin-3 subunit gamma) (Laminin-4 subunit gamma) (Laminin-6 subunit gamma) (Laminin-7 subunit gamma) (Laminin-8 subunit gamma) (Laminin-9 subunit gamma) (S-laminin subunit gamma) (S-LAM gamma)	LAMC1 LAMB2	Homo sapiens (Human)	1609
B2RU26	B2RU26	B2RU26_HUMAN	unreviewed	Thyroglobulin	TG	Homo sapiens (Human)	2768
Q92667	Q92667	AKAP1_HUMAN	reviewed	A-kinase anchor protein 1, mitochondrial (A-kinase anchor protein 149 kDa) (AKAP 149) (Dual specificity A-kinase-anchoring protein 1) (D-AKAP-1) (Protein kinase A-anchoring protein 1) (PRKA1) (Spermatid A-kinase anchor protein 84) (S-AKAP84)	AKAP1 AKAP149 PRKA1	Homo sapiens (Human)	903
Q8IVS6	Q8IVS6	Q8IVS6_HUMAN	unreviewed	Similar to tumor necrosis factor receptor superfamily, member 1B (TNFRSF1B protein) (Fragment)	TNFRSF1B	Homo sapiens (Human)	457
Q15559	Q15559	Q15559_HUMAN	unreviewed	(clone tec14) (Fragment)		Homo sapiens (Human)	102
Q8N3P4	Q8N3P4	VPS8_HUMAN	reviewed	Vacuolar protein sorting-associated protein 8 homolog	VPS8 KIAA0804	Homo sapiens (Human)	1428
Q96D37	Q96D37	Q96D37_HUMAN	unreviewed	Proto-oncogene vav (VAV1 protein)	VAV1	Homo sapiens (Human)	790
Q9UQF2	Q9UQF2	JIP1_HUMAN	reviewed	C-Jun-amino-terminal kinase-interacting protein 1 (JIP-1) (JNK-interacting protein 1) (Islet-brain 1) (IB-1) (JNK MAP kinase scaffold protein 1) (Mitogen-activated protein kinase 8-interacting protein 1)	MAPK8IP1 IB1 JIP1 PRKM8IP	Homo sapiens (Human)	711
E9PMX7	E9PMX7	E9PMX7_HUMAN	unreviewed	Rho GTPase-activating protein 28	ARHGAP28	Homo sapiens (Human)	565
Q15276	Q15276	RABE1_HUMAN	reviewed	Rab GTPase-binding effector protein 1 (Rabaptin-4) (Rabaptin-5) (Rabaptin-5alpha) (Renal carcinoma antigen NY-REN-17)	RABEP1 RAB5EP RABPT5 RABPT5A	Homo sapiens (Human)	862
P27482	P27482	CALL3_HUMAN	reviewed	Calmodulin-like protein 3 (CaM-like protein) (CLP) (Calmodulin-related protein NB-1)	CALML3	Homo sapiens (Human)	149
Q5T280	Q5T280	CI114_HUMAN	reviewed	Putative methyltransferase C9orf114 (EC 2.1.1.-) (Centromere protein 32) (CENP-32) (Kinetochore-associated protein) (SPOUT domain-containing methyltransferase 1)	SPOUT1 C9orf114	Homo sapiens (Human)	376
Q5M9N0-1,Q5M9N0	Q5M9N0	CD158_HUMAN	reviewed	Coiled-coil domain-containing protein 158	CCDC158	Homo sapiens (Human)	1113
Q7L4P6	Q7L4P6	BEND5_HUMAN	reviewed	BEN domain-containing protein 5	BEND5 C1orf165	Homo sapiens (Human)	421
Q6P3W7	Q6P3W7	SCYL2_HUMAN	reviewed	SCY1-like protein 2 (Coated vesicle-associated kinase of 104 kDa)	SCYL2 CVAK104 KIAA1360	Homo sapiens (Human)	929
O95685	O95685	PPR3D_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 3D (Protein phosphatase 1 regulatory subunit 6) (PP1 subunit R6) (Protein phosphatase 1-binding subunit R6)	PPP1R3D PPP1R6	Homo sapiens (Human)	299
Q9BXW9	Q9BXW9	FACD2_HUMAN	reviewed	Fanconi anemia group D2 protein (Protein FACD2)	FANCD2 FACD	Homo sapiens (Human)	1451
Q9BV73	Q9BV73	CP250_HUMAN	reviewed	Centrosome-associated protein CEP250 (250 kDa centrosomal protein) (Cep250) (Centrosomal Nek2-associated protein 1) (C-Nap1) (Centrosomal protein 2)	CEP250 CEP2 CNAP1	Homo sapiens (Human)	2442
Q9UPQ8	Q9UPQ8	DOLK_HUMAN	reviewed	Dolichol kinase (EC 2.7.1.108) (Transmembrane protein 15)	DOLK KIAA1094 TMEM15 UNQ2422/PRO4980	Homo sapiens (Human)	538
O15552	O15552	FFAR2_HUMAN	reviewed	Free fatty acid receptor 2 (G-protein coupled receptor 43)	FFAR2 FFA2 GPCR43 GPR43	Homo sapiens (Human)	330
O43291	O43291	SPIT2_HUMAN	reviewed	Kunitz-type protease inhibitor 2 (Hepatocyte growth factor activator inhibitor type 2) (HAI-2) (Placental bikunin)	SPINT2 HAI2 KOP	Homo sapiens (Human)	252
A0A024R814	A0A024R814	A0A024R814_HUMAN	unreviewed	Ribosomal protein L7, isoform CRA_a	RPL7 hCG_1983988	Homo sapiens (Human)	259
P36941	P36941	TNR3_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 3 (Lymphotoxin-beta receptor) (Tumor necrosis factor C receptor) (Tumor necrosis factor receptor 2-related protein) (Tumor necrosis factor receptor type III) (TNF-RIII) (TNFR-III)	LTBR D12S370 TNFCR TNFR3 TNFRSF3	Homo sapiens (Human)	435
Q9HD20	Q9HD20	AT131_HUMAN	reviewed	Endoplasmic reticulum transmembrane helix translocase (EC 7.4.2.-) (Endoplasmic reticulum P5A-ATPase)	ATP13A1 ATP13A KIAA1825 CGI-152	Homo sapiens (Human)	1204
V9HW09	V9HW09	V9HW09_HUMAN	unreviewed	26S proteasome non-ATPase regulatory subunit 8	HEL-S-91n	Homo sapiens (Human)	350
P01243	P0DML2	CSH1_HUMAN	reviewed	Chorionic somatomammotropin hormone 1 (Choriomammotropin) (Lactogen) (Placental lactogen) (PL)	CSH1	Homo sapiens (Human)	217
P01243	P0DML3	CSH2_HUMAN	reviewed	Chorionic somatomammotropin hormone 2 (Choriomammotropin) (Lactogen) (Placental lactogen) (PL)	CSH2	Homo sapiens (Human)	217
Q96KG9	Q96KG9	SCYL1_HUMAN	reviewed	N-terminal kinase-like protein (Coated vesicle-associated kinase of 90 kDa) (SCY1-like protein 1) (Telomerase regulation-associated protein) (Telomerase transcriptional element-interacting factor) (Teratoma-associated tyrosine kinase)	SCYL1 CVAK90 GKLP NTKL TAPK TEIF TRAP HT019	Homo sapiens (Human)	808
A0A0A0MSI0	A0A0A0MSI0	A0A0A0MSI0_HUMAN	unreviewed	Peroxiredoxin-1 (Fragment)	PRDX1	Homo sapiens (Human)	171
A0A024RCR6	A0A024RCR6	A0A024RCR6_HUMAN	unreviewed	BCL2-associated athanogene 6 (HLA-B-associated transcript 3) (Large proline-rich protein BAG6)	BAG6 BAT3 hCG_2005629	Homo sapiens (Human)	1126
P0C7X2	P0C7X2	ZN688_HUMAN	reviewed	Zinc finger protein 688	ZNF688	Homo sapiens (Human)	276
Q9UMS4	Q9UMS4	PRP19_HUMAN	reviewed	Pre-mRNA-processing factor 19 (EC 2.3.2.27) (Nuclear matrix protein 200) (PRP19/PSO4 homolog) (hPso4) (RING-type E3 ubiquitin transferase PRP19) (Senescence evasion factor)	PRPF19 NMP200 PRP19 SNEV	Homo sapiens (Human)	504
Q5JQF3	Q5JQF3	Q5JQF3_HUMAN	unreviewed	Polyadenylate-binding protein 5	PABPC5	Homo sapiens (Human)	218
Q16537	Q16537	2A5E_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform (PP2A B subunit isoform B'-epsilon) (PP2A B subunit isoform B56-epsilon) (PP2A B subunit isoform PR61-epsilon) (PP2A B subunit isoform R5-epsilon)	PPP2R5E	Homo sapiens (Human)	467
Q496Y0	Q496Y0	LONF3_HUMAN	reviewed	LON peptidase N-terminal domain and RING finger protein 3 (RING finger protein 127)	LONRF3 RNF127	Homo sapiens (Human)	759
Q08AD1	Q08AD1	CAMP2_HUMAN	reviewed	Calmodulin-regulated spectrin-associated protein 2 (Calmodulin-regulated spectrin-associated protein 1-like protein 1)	CAMSAP2 CAMSAP1L1 KIAA1078	Homo sapiens (Human)	1489
P14317	P14317	HCLS1_HUMAN	reviewed	Hematopoietic lineage cell-specific protein (Hematopoietic cell-specific LYN substrate 1) (LckBP1) (p75)	HCLS1 HS1	Homo sapiens (Human)	486
V9HW43	V9HW43	V9HW43_HUMAN	unreviewed	Heat shock 27 kDa protein (Heat shock protein beta-1)	HEL-S-102	Homo sapiens (Human)	205
A6NK53	A6NK53	ZN233_HUMAN	reviewed	Zinc finger protein 233	ZNF233	Homo sapiens (Human)	670
H0YCS8	H0YCS8	H0YCS8_HUMAN	unreviewed	Interleukin-11 receptor subunit alpha (Fragment)	IL11RA	Homo sapiens (Human)	77
A0A087WXK8	A0A087WXK8	A0A087WXK8_HUMAN	unreviewed	Chromosome 20 open reading frame 129 (Protein FAM83D)	FAM83D C20orf129 hCG_38062	Homo sapiens (Human)	615
Q96DN0	Q96DN0	ERP27_HUMAN	reviewed	Endoplasmic reticulum resident protein 27 (ER protein 27) (ERp27) (Inactive protein disulfide-isomerase 27)	ERP27 C12orf46 UNQ781/PRO1575	Homo sapiens (Human)	273
A0A087WVM4	A0A087WVM4	A0A087WVM4_HUMAN	unreviewed	Formate--tetrahydrofolate ligase (EC 6.3.4.3)	MTHFD1L	Homo sapiens (Human)	913
Q9NR34	Q9NR34	MA1C1_HUMAN	reviewed	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IC (EC 3.2.1.113) (HMIC) (Mannosidase alpha class 1C member 1) (Processing alpha-1,2-mannosidase IC) (Alpha-1,2-mannosidase IC)	MAN1C1 MAN1A3 MAN1C	Homo sapiens (Human)	630
P57678	P57678	GEMI4_HUMAN	reviewed	Gem-associated protein 4 (Gemin-4) (Component of gems 4) (p97)	GEMIN4	Homo sapiens (Human)	1058
Q4G0X4	Q4G0X4	KCD21_HUMAN	reviewed	BTB/POZ domain-containing protein KCTD21 (KCASH2 protein) (Potassium channel tetramerization domain-containing protein 21)	KCTD21	Homo sapiens (Human)	260
G9LCA6	G9LCA6	G9LCA6_HUMAN	unreviewed	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	ND5	Homo sapiens (Human)	603
Q99963	Q99963	SH3G3_HUMAN	reviewed	Endophilin-A3 (EEN-B2) (Endophilin-3) (SH3 domain protein 2C) (SH3 domain-containing GRB2-like protein 3)	SH3GL3 CNSA3 SH3D2C	Homo sapiens (Human)	347
Q9Y217	Q9Y217	MTMR6_HUMAN	reviewed	Myotubularin-related protein 6 (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (EC 3.1.3.95) (Phosphatidylinositol-3-phosphate phosphatase) (EC 3.1.3.64)	MTMR6	Homo sapiens (Human)	621
Q4LE38	Q4LE38	Q4LE38_HUMAN	unreviewed	IkappaB kinase complex-associated protein (Fragment)	IKBKAP variant protein	Homo sapiens (Human)	1342
Q5VTT5	Q5VTT5	MYOM3_HUMAN	reviewed	Myomesin-3 (Myomesin family member 3)	MYOM3	Homo sapiens (Human)	1437
Q14686	Q14686	NCOA6_HUMAN	reviewed	Nuclear receptor coactivator 6 (Activating signal cointegrator 2) (ASC-2) (Amplified in breast cancer protein 3) (Cancer-amplified transcriptional coactivator ASC-2) (Nuclear receptor coactivator RAP250) (NRC RAP250) (Nuclear receptor-activating protein, 250 kDa) (Peroxisome proliferator-activated receptor-interacting protein) (PPAR-interacting protein) (PRIP) (Thyroid hormone receptor-binding protein)	NCOA6 AIB3 KIAA0181 RAP250 TRBP	Homo sapiens (Human)	2063
O95070	O95070	YIF1A_HUMAN	reviewed	Protein YIF1A (54TMp) (YIP1-interacting factor homolog A)	YIF1A 54TM HYIF1P YIF1	Homo sapiens (Human)	293
Q02539	Q02539	H11_HUMAN	reviewed	Histone H1.1 (Histone H1a)	H1-1 H1F1 HIST1H1A	Homo sapiens (Human)	215
Q08AM6	Q08AM6	VAC14_HUMAN	reviewed	Protein VAC14 homolog (Tax1-binding protein 2)	VAC14 TAX1BP2 TRX	Homo sapiens (Human)	782
P25490	P25490	TYY1_HUMAN	reviewed	Transcriptional repressor protein YY1 (Delta transcription factor) (INO80 complex subunit S) (NF-E1) (Yin and yang 1) (YY-1)	YY1 INO80S	Homo sapiens (Human)	414
P40123	P40123	CAP2_HUMAN	reviewed	Adenylyl cyclase-associated protein 2 (CAP 2)	CAP2	Homo sapiens (Human)	477
O75554	O75554	WBP4_HUMAN	reviewed	WW domain-binding protein 4 (WBP-4) (Formin-binding protein 21) (WW domain-containing-binding protein 4)	WBP4 FBP21 FNBP21	Homo sapiens (Human)	376
Q9UBP9	Q9UBP9	GULP1_HUMAN	reviewed	PTB domain-containing engulfment adapter protein 1 (Cell death protein 6 homolog) (PTB domain adapter protein CED-6) (Protein GULP)	GULP1 CED6 GULP	Homo sapiens (Human)	304
Q8N1G2	Q8N1G2	CMTR1_HUMAN	reviewed	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1 (EC 2.1.1.57) (Cap methyltransferase 1) (Cap1 2'O-ribose methyltransferase 1) (MTr1) (hMTr1) (FtsJ methyltransferase domain-containing protein 2) (Interferon-stimulated gene 95 kDa protein) (ISG95)	CMTR1 FTSJD2 KIAA0082 MTR1	Homo sapiens (Human)	835
Q9NTK5	Q9NTK5	OLA1_HUMAN	reviewed	Obg-like ATPase 1 (DNA damage-regulated overexpressed in cancer 45) (DOC45) (GTP-binding protein 9)	OLA1 GTPBP9 PRO2455 PTD004	Homo sapiens (Human)	396
A0A090N8Z4	A0A090N8Z4	A0A090N8Z4_HUMAN	unreviewed	Immunity associated protein 1	IMAP1 tcag7.759	Homo sapiens (Human)	306
Q14746	Q14746	COG2_HUMAN	reviewed	Conserved oligomeric Golgi complex subunit 2 (COG complex subunit 2) (Component of oligomeric Golgi complex 2) (Low density lipoprotein receptor defect C-complementing protein)	COG2 LDLC	Homo sapiens (Human)	738
Q96JB2	Q96JB2	COG3_HUMAN	reviewed	Conserved oligomeric Golgi complex subunit 3 (COG complex subunit 3) (Component of oligomeric Golgi complex 3) (Vesicle-docking protein SEC34 homolog) (p94)	COG3 SEC34	Homo sapiens (Human)	828
F8VZX2	F8VZX2	F8VZX2_HUMAN	unreviewed	Poly(rC)-binding protein 2	PCBP2	Homo sapiens (Human)	321
Q7Z401	Q7Z401	MYCPP_HUMAN	reviewed	C-myc promoter-binding protein (DENN domain-containing protein 4A)	DENND4A IRLB MYCPBP	Homo sapiens (Human)	1863
A0A024QZP7	A0A024QZP7	A0A024QZP7_HUMAN	unreviewed	Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a (Cyclin-dependent kinase 1)	CDK1 CDC2 hCG_40242	Homo sapiens (Human)	297
Q6NSJ5	Q6NSJ5	LRC8E_HUMAN	reviewed	Volume-regulated anion channel subunit LRRC8E (Leucine-rich repeat-containing protein 8E)	LRRC8E	Homo sapiens (Human)	796
Q6NUQ1	Q6NUQ1	RINT1_HUMAN	reviewed	RAD50-interacting protein 1 (RAD50 interactor 1) (HsRINT-1) (RINT-1)	RINT1	Homo sapiens (Human)	792
O95757	O95757	HS74L_HUMAN	reviewed	Heat shock 70 kDa protein 4L (Heat shock 70-related protein APG-1) (Heat-shock protein family A member 4-like protein) (HSPA4-like protein) (Osmotic stress protein 94)	HSPA4L APG1 OSP94	Homo sapiens (Human)	839
P43007	P43007	SATT_HUMAN	reviewed	Neutral amino acid transporter A (Alanine/serine/cysteine/threonine transporter 1) (ASCT-1) (SATT) (Solute carrier family 1 member 4)	SLC1A4 ASCT1 SATT	Homo sapiens (Human)	532
Q6ZNL1	Q6ZNL1	Q6ZNL1_HUMAN	unreviewed	FLJ00283 protein (Fragment)	FLJ00283	Homo sapiens (Human)	500
Q9NWC5	Q9NWC5	TM45A_HUMAN	reviewed	Transmembrane protein 45A (DNA polymerase-transactivated protein 4) (Dermal papilla-derived protein 7)	TMEM45A DERP7 DNAPTP4	Homo sapiens (Human)	275
Q9UK79	Q9UK79	Q9UK79_HUMAN	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)	HER-2 ERBB2 hCG_28177	Homo sapiens (Human)	419
Q12946	Q12946	FOXF1_HUMAN	reviewed	Forkhead box protein F1 (Forkhead-related activator 1) (FREAC-1) (Forkhead-related protein FKHL5) (Forkhead-related transcription factor 1)	FOXF1 FKHL5 FREAC1	Homo sapiens (Human)	379
Q2NL68	Q2NL68	PRSR3_HUMAN	reviewed	Proline and serine-rich protein 3	PROSER3 C19orf55	Homo sapiens (Human)	480
Q96S59,Q96S59-1	Q96S59	RANB9_HUMAN	reviewed	Ran-binding protein 9 (RanBP9) (BPM-L) (BPM90) (Ran-binding protein M) (RanBPM) (RanBP7)	RANBP9 RANBPM	Homo sapiens (Human)	729
O60291	O60291	MGRN1_HUMAN	reviewed	E3 ubiquitin-protein ligase MGRN1 (EC 2.3.2.27) (Mahogunin RING finger protein 1) (RING finger protein 156) (RING-type E3 ubiquitin transferase MGRN1)	MGRN1 KIAA0544 RNF156	Homo sapiens (Human)	552
C0SPH0	C0SPH0	C0SPH0_HUMAN	unreviewed	Cortactin-binding protein 1	CORTBP1	Homo sapiens (Human)	1260
Q9BSR8	Q9BSR8	YIPF4_HUMAN	reviewed	Protein YIPF4 (YIP1 family member 4)	YIPF4 Nbla11189	Homo sapiens (Human)	244
J3KR82	J3KR82	J3KR82_HUMAN	unreviewed	Polo-like kinase 4 (EC 2.7.11.21) (Serine/threonine-protein kinase PLK4)	PLK4	Homo sapiens (Human)	892
Q9Y3E1	Q9Y3E1	HDGR3_HUMAN	reviewed	Hepatoma-derived growth factor-related protein 3 (HRP-3) (Hepatoma-derived growth factor 2) (HDGF-2)	HDGFL3 HDGF2 HDGFRP3 CGI-142	Homo sapiens (Human)	203
H0Y512	H0Y512	H0Y512_HUMAN	unreviewed	Adipocyte plasma membrane-associated protein (Fragment)	APMAP	Homo sapiens (Human)	409
Q8N888	Q8N888	BCOR2_HUMAN	reviewed	Putative BCoR-like protein 2 (BCL-6 corepressor pseudogene 1) (BCL-6 corepressor-like protein 2)	BCORP1 BCORL2	Homo sapiens (Human)	145
Q9UKX7	Q9UKX7	NUP50_HUMAN	reviewed	Nuclear pore complex protein Nup50 (50 kDa nucleoporin) (Nuclear pore-associated protein 60 kDa-like) (Nucleoporin Nup50)	NUP50 NPAP60L PRO1146	Homo sapiens (Human)	468
P78524	P78524	DEN2B_HUMAN	reviewed	DENN domain-containing protein 2B (HeLa tumor suppression 1) (Suppression of tumorigenicity 5 protein)	DENND2B HTS1 ST5	Homo sapiens (Human)	1137
P21108	P21108	PRPS3_HUMAN	reviewed	Ribose-phosphate pyrophosphokinase 3 (EC 2.7.6.1) (Phosphoribosyl pyrophosphate synthase 1-like 1) (PRPS1-like 1) (Phosphoribosyl pyrophosphate synthase III) (PRS-III)	PRPS1L1 PRPS3 PRPSL	Homo sapiens (Human)	318
Q9Y5G6	Q9Y5G6	PCDG7_HUMAN	reviewed	Protocadherin gamma-A7 (PCDH-gamma-A7)	PCDHGA7	Homo sapiens (Human)	932
P0DME0	P0DME0	SETLP_HUMAN	reviewed	Protein SETSIP (SET pseudogene protein 18) (SET similar protein) (Similar to SET translocation protein)	SETSIP SETP18	Homo sapiens (Human)	302
A0A024RA81	A0A024RA81	A0A024RA81_HUMAN	unreviewed	5'-nucleotidase (EC 3.1.3.5)	NT5C3 hCG_2010191	Homo sapiens (Human)	297
Q9UBV2	Q9UBV2	SE1L1_HUMAN	reviewed	Protein sel-1 homolog 1 (Suppressor of lin-12-like protein 1) (Sel-1L)	SEL1L TSA305 UNQ128/PRO1063	Homo sapiens (Human)	794
Q9Y2D8	Q9Y2D8	ADIP_HUMAN	reviewed	Afadin- and alpha-actinin-binding protein (ADIP) (Afadin DIL domain-interacting protein) (SSX2-interacting protein)	SSX2IP KIAA0923	Homo sapiens (Human)	614
Q9UKV8	Q9UKV8	AGO2_HUMAN	reviewed	Protein argonaute-2 (Argonaute2) (hAgo2) (EC 3.1.26.n2) (Argonaute RISC catalytic component 2) (Eukaryotic translation initiation factor 2C 2) (eIF-2C 2) (eIF2C 2) (PAZ Piwi domain protein) (PPD) (Protein slicer)	AGO2 EIF2C2	Homo sapiens (Human)	859
P01106	P01106	MYC_HUMAN	reviewed	Myc proto-oncogene protein (Class E basic helix-loop-helix protein 39) (bHLHe39) (Proto-oncogene c-Myc) (Transcription factor p64)	MYC BHLHE39	Homo sapiens (Human)	439
Q9UPM8	Q9UPM8	AP4E1_HUMAN	reviewed	AP-4 complex subunit epsilon-1 (AP-4 adaptor complex subunit epsilon) (Adaptor-related protein complex 4 subunit epsilon-1) (Epsilon subunit of AP-4) (Epsilon-adaptin)	AP4E1	Homo sapiens (Human)	1137
Q9UM00-1,Q9UM00	Q9UM00	TMCO1_HUMAN	reviewed	Calcium load-activated calcium channel (CLAC channel) (Transmembrane and coiled-coil domain-containing protein 1) (Transmembrane and coiled-coil domains protein 4) (Xenogeneic cross-immune protein PCIA3)	TMCO1 TMCC4 PNAS-10 PNAS-136 UNQ151/PRO177	Homo sapiens (Human)	239
Q9BQ61	Q9BQ61	TRIR_HUMAN	reviewed	Telomerase RNA component interacting RNase (EC 3.1.13.-) (Exoribonuclease TRIR)	TRIR C19orf43	Homo sapiens (Human)	176
Q07020	Q07020	RL18_HUMAN	reviewed	60S ribosomal protein L18 (Large ribosomal subunit protein eL18)	RPL18	Homo sapiens (Human)	188
Q6UWP8	Q6UWP8	SBSN_HUMAN	reviewed	Suprabasin	SBSN UNQ698/PRO1343	Homo sapiens (Human)	590
Q9Y5Y6	Q9Y5Y6	ST14_HUMAN	reviewed	Suppressor of tumorigenicity 14 protein (EC 3.4.21.109) (Matriptase) (Membrane-type serine protease 1) (MT-SP1) (Prostamin) (Serine protease 14) (Serine protease TADG-15) (Tumor-associated differentially-expressed gene 15 protein)	ST14 PRSS14 SNC19 TADG15	Homo sapiens (Human)	855
Q6ZP01	Q6ZP01	RBM44_HUMAN	reviewed	RNA-binding protein 44 (RNA-binding motif protein 44)	RBM44	Homo sapiens (Human)	1052
O15431	O15431	COPT1_HUMAN	reviewed	High affinity copper uptake protein 1 (Copper transporter 1) (hCTR1) (Solute carrier family 31 member 1)	SLC31A1 COPT1 CTR1	Homo sapiens (Human)	190
Q8WVC6	Q8WVC6	DCAKD_HUMAN	reviewed	Dephospho-CoA kinase domain-containing protein	DCAKD	Homo sapiens (Human)	231
Q13395	Q13395	TARB1_HUMAN	reviewed	Probable methyltransferase TARBP1 (EC 2.1.1.-) (TAR RNA-binding protein 1) (TAR RNA-binding protein of 185 kDa) (TRP-185)	TARBP1 TRM3 TRP185	Homo sapiens (Human)	1621
P08034	P08034	CXB1_HUMAN	reviewed	Gap junction beta-1 protein (Connexin-32) (Cx32) (GAP junction 28 kDa liver protein)	GJB1 CX32	Homo sapiens (Human)	283
P82664	P82664	RT10_HUMAN	reviewed	28S ribosomal protein S10, mitochondrial (MRP-S10) (S10mt) (Mitochondrial small ribosomal subunit protein uS10m)	MRPS10 MSTP040	Homo sapiens (Human)	201
Q8NEA5	Q8NEA5	CS018_HUMAN	reviewed	Uncharacterized protein C19orf18	C19orf18	Homo sapiens (Human)	215
Q9Y3P4	Q9Y3P4	RHBD3_HUMAN	reviewed	Rhomboid domain-containing protein 3	RHBDD3 C22orf3	Homo sapiens (Human)	386
P10075	P10075	GLI4_HUMAN	reviewed	Zinc finger protein GLI4 (Krueppel-related zinc finger protein 4) (Protein HKR4)	GLI4 HKR4	Homo sapiens (Human)	376
Q9Y5Z7	Q9Y5Z7	HCFC2_HUMAN	reviewed	Host cell factor 2 (HCF-2) (C2 factor)	HCFC2	Homo sapiens (Human)	792
Q9NNX6,Q9NNX6-10	Q9NNX6	CD209_HUMAN	reviewed	CD209 antigen (C-type lectin domain family 4 member L) (Dendritic cell-specific ICAM-3-grabbing non-integrin 1) (DC-SIGN) (DC-SIGN1) (CD antigen CD209)	CD209 CLEC4L	Homo sapiens (Human)	404
Q9H8W5	Q9H8W5	TRI45_HUMAN	reviewed	Tripartite motif-containing protein 45 (RING finger protein 99)	TRIM45 RNF99	Homo sapiens (Human)	580
Q9Y6D9	Q9Y6D9	MD1L1_HUMAN	reviewed	Mitotic spindle assembly checkpoint protein MAD1 (Mitotic arrest deficient 1-like protein 1) (MAD1-like protein 1) (Mitotic checkpoint MAD1 protein homolog) (HsMAD1) (hMAD1) (Tax-binding protein 181)	MAD1L1 MAD1 TXBP181	Homo sapiens (Human)	718
P11216	P11216	PYGB_HUMAN	reviewed	Glycogen phosphorylase, brain form (EC 2.4.1.1)	PYGB	Homo sapiens (Human)	843
Q8TF40	Q8TF40	FNIP1_HUMAN	reviewed	Folliculin-interacting protein 1	FNIP1 KIAA1961	Homo sapiens (Human)	1166
Q96EY1,Q96EY1-1	Q96EY1	DNJA3_HUMAN	reviewed	DnaJ homolog subfamily A member 3, mitochondrial (DnaJ protein Tid-1) (hTid-1) (Hepatocellular carcinoma-associated antigen 57) (Tumorous imaginal discs protein Tid56 homolog)	DNAJA3 HCA57 TID1	Homo sapiens (Human)	480
Q3SY17	Q3SY17	S2552_HUMAN	reviewed	Mitochondrial nicotinamide adenine dinucleotide transporter SLC25A52 (Mitochondrial NAD(+) transporter SLC25A52) (Mitochondrial carrier triple repeat protein 2) (Solute carrier family 25 member 52)	SLC25A52 MCART2	Homo sapiens (Human)	297
O43257	O43257	ZNHI1_HUMAN	reviewed	Zinc finger HIT domain-containing protein 1 (Cyclin-G1-binding protein 1) (Zinc finger protein subfamily 4A member 1) (p18 Hamlet)	ZNHIT1 CGBP1 ZNFN4A1	Homo sapiens (Human)	154
Q13505	Q13505	MTX1_HUMAN	reviewed	Metaxin-1 (Mitochondrial outer membrane import complex protein 1)	MTX1 MTX MTXN	Homo sapiens (Human)	466
Q9UPR0	Q9UPR0	PLCL2_HUMAN	reviewed	Inactive phospholipase C-like protein 2 (PLC-L(2)) (PLC-L2) (Phospholipase C-L2) (Phospholipase C-epsilon-2) (PLC-epsilon-2)	PLCL2 KIAA1092 PLCE2	Homo sapiens (Human)	1127
Q99650	Q99650	OSMR_HUMAN	reviewed	Oncostatin-M-specific receptor subunit beta (Interleukin-31 receptor subunit beta) (IL-31 receptor subunit beta) (IL-31R subunit beta) (IL-31R-beta) (IL-31RB)	OSMR OSMRB	Homo sapiens (Human)	979
Q8WW59	Q8WW59	SPRY4_HUMAN	reviewed	SPRY domain-containing protein 4	SPRYD4	Homo sapiens (Human)	207
O43918	O43918	AIRE_HUMAN	reviewed	Autoimmune regulator (Autoimmune polyendocrinopathy candidiasis ectodermal dystrophy protein) (APECED protein)	AIRE APECED	Homo sapiens (Human)	545
Q63HR1	Q63HR1	Q63HR1_HUMAN	unreviewed	Uncharacterized protein DKFZp686P17171	DKFZp686P17171	Homo sapiens (Human)	387
Q9NT22	Q9NT22	EMIL3_HUMAN	reviewed	EMILIN-3 (EMILIN-5) (Elastin microfibril interface-located protein 3) (Elastin microfibril interfacer 3) (Elastin microfibril interface-located protein 5) (Elastin microfibril interfacer 5)	EMILIN3 C20orf130 EMILIN5	Homo sapiens (Human)	766
Q96NW4	Q96NW4	ANR27_HUMAN	reviewed	Ankyrin repeat domain-containing protein 27 (VPS9 domain-containing protein)	ANKRD27 PP12899	Homo sapiens (Human)	1050
Q13683	Q13683	ITA7_HUMAN	reviewed	Integrin alpha-7 [Cleaved into: Integrin alpha-7 heavy chain; Integrin alpha-7 light chain; Integrin alpha-7 70 kDa form]	ITGA7 UNQ406/PRO768	Homo sapiens (Human)	1181
